PMS Code,PMS Code Description,$ Value,Reporting Category,Active/Inactive,Dose Count
93-241,RC K9 Medi Chew - Small,6.25,Revenue Profit Categories - Over The Counter,active,0
100-312,Feline G/D 1.81kg,31.11,Diet Manufacturers - Hill's,active,0
100-312,Feline G/D 1.81kg,31.11,Revenue Profit Categories - Diet Revenue,active,0
100-531,Feline Metabolic 3.85kg,73.23,Diet Manufacturers - Hill's,active,0
100-531,Feline Metabolic 3.85kg,73.23,Revenue Profit Categories - Diet Revenue,active,0
12-499,Cytology (slide) withDesc. - 2 Sites,81.95,Revenue Profit Categories - Lab (external),active,0
12-800,Fecal - Ova & Parasite w/ Giardia-Add on,67.95,Revenue Profit Categories - Lab (external),active,0
100-535,Feline Metabolic 7.94kg,134.65,Diet Manufacturers - Hill's,active,0
100-535,Feline Metabolic 7.94kg,134.65,Revenue Profit Categories - Diet Revenue,active,0
6-76,Corneal Debridement,94.5,Revenue Profit Categories - Professional Services (Other),active,0
12-697,Primary Wellness Panel,139.1,Revenue Profit Categories - Lab (external),active,0
12-697,Primary Wellness Panel,139.1,Testing - Wellness Bloodwork,active,0
57-379,Pimobendan 10mg/ml,2.71,Revenue Profit Categories - Drug and Medications,active,0
62-7,Thyro-Tabs 0.2mg,0.2,Revenue Profit Categories - Drug and Medications,active,0
6-2,Abdominocentesis,57.9,Revenue Profit Categories - Diagnostic Imaging,active,0
12-119,Cobalamin (Vit B12) & Folate,194.45,Revenue Profit Categories - Lab (external),active,0
71-36,Petrodex Finger Brush 2pk,5.72,Revenue Profit Categories - Over The Counter,active,0
40-101,Death at Home,0.0,Revenue Profit Categories - Euthanasia & Cremation,active,0
65-69,Interceptor Plus Yellow 11.5mg tablet,10.27,Revenue Profit Categories - Drug and Medications,active,1
65-69,Interceptor Plus Yellow 11.5mg tablet,10.27,Parasiticides_Internal - Interceptor Plus,active,1
65-237,Advantix K9 Red (6),121.64,Revenue Profit Categories - Drug and Medications,active,6
65-237,Advantix K9 Red (6),121.64,Parasiticides_External - Advantix,active,6
COM,COMMENT,0.0,Revenue Profit Categories - Professional Services (Other),active,0
68-2,Acevet 25mg Tablets,0.38,Revenue Profit Categories - Drug and Medications,active,0
300-2,Recheck 2days,0.0,Revenue Profit Categories - Exams,inactive,0
71-03,Tartar Shield Chews X-Large (12),43.56,Revenue Profit Categories - Over The Counter,active,0
94-35,PVD Feline UR Can,2.03,Diet Manufacturers - Purina,active,0
94-35,PVD Feline UR Can,2.03,Revenue Profit Categories - Diet Revenue,active,0
1033,Alfaxan Inj per ml,5.71,Revenue Profit Categories - Anesthesia,active,0
100-529,Canine Metabolic Treats,10.34,Revenue Profit Categories - Over The Counter,active,0
57-5,Vetmedin Caps 2.5mg,1.29,Revenue Profit Categories - Drug and Medications,active,0
22-11,Mason Meta/ Splint Large,148.5,Revenue Profit Categories - Professional Services (Other),active,0
65-49,Interceptor White Single Tab,14.75,Revenue Profit Categories - Drug and Medications,active,1
65-49,Interceptor White Single Tab,14.75,Parasiticides_Internal - Interceptor,active,1
33-14,KP Methimazole 50mg/ml TD Gel,0.0,Revenue Profit Categories - Drug and Medications,active,0
65-251,Trifexis Pink 140mg Per Tablet,18.39,Revenue Profit Categories - Drug and Medications,active,1
62-79,Trilostane 30mg Capsule,2.25,Revenue Profit Categories - Drug and Medications,active,0
65-251,Trifexis Pink 140mg Per Tablet,18.39,Parasiticides_Combo - Trifexis,active,1
105-28,Rayne Canine Adult Health RSS 8kg,87.17,Revenue Profit Categories - Diet Revenue,active,0
105-33,Rayne Feline Rabbit 3kg,65.36,Revenue Profit Categories - Diet Revenue,active,0
21-50,I.V. Placement,39.6,Revenue Profit Categories - Fluid Therapy,active,0
66-27,Vet Sol Oatmeal Conditioner,21.81,Revenue Profit Categories - Drug and Medications,active,0
66-27,Vet Sol Oatmeal Conditioner,21.81,Medication Breakout - Derm,active,0
600-14,Client Referral Discount,0.0,Revenue Profit Categories - Discounts,active,0
21-202,Lactated Ringers - Surgery,0.0,Revenue Profit Categories - Fluid Therapy,active,0
14-1,Feline Orchiectomy,136.71,Revenue Profit Categories - Surgery,active,0
21-216,1000 mls Normosol-R,9.96,Revenue Profit Categories - Fluid Therapy,active,0
55-80,Ketoconazole 100mg/ml per ml,1.54,Revenue Profit Categories - Drug and Medications,active,0
15-323,Lidocaine Neat 2% Inj,0.23,Revenue Profit Categories - Injections,active,0
12-36,Culture & Sensitivity (Aerobic),137.68,Revenue Profit Categories - Lab (external),active,0
16-46,Intramedullary Pinning per 10 min,99.23,Revenue Profit Categories - Surgery,active,0
65-113,Sentinel White 23-45kg Per Tablet,23.77,Revenue Profit Categories - Drug and Medications,active,1
65-113,Sentinel White 23-45kg Per Tablet,23.77,Parasiticides_Combo - Sentinel,active,1
11-101,Blood Glucose Curve 4/kennel chrg.,134.8,Revenue Profit Categories - Lab (in-house),active,0
103-7,"Pain mgmt - canine, in hospital",25.0,Revenue Profit Categories - Drug and Medications,active,0
103-7,"Pain mgmt - canine, in hospital",25.0,Medication Breakout - Pain,active,0
12-81,Coccidioides Antibody by AGID,196.5,Revenue Profit Categories - Lab (external),active,0
12-397,Biopsy w/ Micro Desc. (4 Sites),109.47,Revenue Profit Categories - Lab (external),active,0
16-52,Splenectomy per 10 min,99.23,Revenue Profit Categories - Surgery,active,0
52-77,Aventiclav 125mg,1.15,Revenue Profit Categories - Drug and Medications,active,0
65-240,Heartgard Plus 68mcg Blue Per Tablet,5.63,Revenue Profit Categories - Drug and Medications,active,1
65-240,Heartgard Plus 68mcg Blue Per Tablet,5.63,Parasiticides_Internal - Heartgard,active,1
301-13,Toxoplasma IgM (Feline),191.77,Revenue Profit Categories - Lab (external),active,0
93-354,RC K9 Dental Small Dog 10kg,97.34,Diet Manufacturers - Royal Canin,active,0
93-354,RC K9 Dental Small Dog 10kg,97.34,Revenue Profit Categories - Diet Revenue,active,0
600-18,Senior Month Lab Discount,0.0,Revenue Profit Categories - Lab (external),active,0
71-01,Tartar Shield Chews Small (30),33.13,Revenue Profit Categories - Over The Counter,active,0
40-3,Euthanasia,0.0,Revenue Profit Categories - Euthanasia & Cremation,active,0
2-10,FeLV Vaccine 1 Year,28.3,Revenue Profit Categories - Vaccines,active,0
2-10,FeLV Vaccine 1 Year,28.3,Vaccinations - FELV,active,0
65.-302,Nexgard Purple 68mg Per Tablet,20.76,Revenue Profit Categories - Drug and Medications,active,1
65.-302,Nexgard Purple 68mg Per Tablet,20.76,Parasiticides_External - NexGard,active,1
63-49,Prednisolone Ratio 1% Eye Drop 10ml,46.05,Revenue Profit Categories - Drug and Medications,active,0
64-7,Surolan 15ml,38.03,Revenue Profit Categories - Drug and Medications,active,0
64-7,Surolan 15ml,38.03,Medication Breakout: Otics - Surolan,active,0
64-7,Surolan 15ml,38.03,Medication Breakout - Otics,active,0
100-276,Feline R/D - Can,2.55,Diet Manufacturers - Hill's,active,0
100-276,Feline R/D - Can,2.55,Revenue Profit Categories - Diet Revenue,active,0
1-109,Correspondence Fee,33.4,Revenue Profit Categories - Professional Services (Other),active,0
24-3,Ear Clean Minor,26.35,Revenue Profit Categories - Professional Services (Other),active,0
1-200,Soft Paws Apllication Only,26.5,Revenue Profit Categories - Professional Services (Other),active,0
G1366,Katies Place Hospital Overnight/Daily Nu,0.0,Revenue Profit Categories - Hospitalization,active,0
12-496,Cytology with Micro Desc. - 5 Sites,175.21,Revenue Profit Categories - Lab (external),active,0
93-351,RC K9 Satiety Support Small Dog 3kg,43.49,Diet Manufacturers - Royal Canin,active,0
93-351,RC K9 Satiety Support Small Dog 3kg,43.49,Revenue Profit Categories - Diet Revenue,active,0
100-278,Feline R/D 1.8kg,35.21,Diet Manufacturers - Hill's,active,0
100-278,Feline R/D 1.8kg,35.21,Revenue Profit Categories - Diet Revenue,active,0
14-ALT,Canine Orchiectomy - GROUP,0.0,Revenue Profit Categories - Surgery,active,0
12-73,TSH Level - Add on,71.65,Revenue Profit Categories - Lab (external),active,0
101-109,Advantage II Feline Purple Per Vial,15.58,Revenue Profit Categories - Drug and Medications,active,1
101-109,Advantage II Feline Purple Per Vial,15.58,Parasiticides_External - Advantage,active,1
12-260,Spec FPL,173.95,Revenue Profit Categories - Lab (external),active,0
14-15,Canine Ovariohysterectomy 10-20kg,243.31,Revenue Profit Categories - Surgery,active,0
56-6,Vanectyl-P,1.03,Revenue Profit Categories - Drug and Medications,active,0
56-6,Vanectyl-P,1.03,Medication Breakout - Derm,active,0
57-56,Terbutaline Sulfate 1.25mg Tablet,0.53,Revenue Profit Categories - Drug and Medications,active,0
14-18,SPCA Elective Surgery Voucher,0.0,Revenue Profit Categories - Surgery,active,0
62-51,Methimazole 10mg Chew,1.41,Revenue Profit Categories - Drug and Medications,active,0
93-265,RC K9 Gastro Int Fibre 4kg,44.54,Diet Manufacturers - Royal Canin,active,0
93-265,RC K9 Gastro Int Fibre 4kg,44.54,Revenue Profit Categories - Diet Revenue,active,0
100-520,Feline Y/D 1.8kg,40.38,Diet Manufacturers - Hill's,active,0
100-520,Feline Y/D 1.8kg,40.38,Revenue Profit Categories - Diet Revenue,active,0
100-503,Feline J/D - Can,3.08,Diet Manufacturers - Hill's,active,0
100-503,Feline J/D - Can,3.08,Revenue Profit Categories - Diet Revenue,active,0
102-46,Pure Bites Feline Whitefish 11g,4.49,Revenue Profit Categories - Over The Counter,active,0
30-1011,Zylkene 225mg Caps (30),56.27,Revenue Profit Categories - Over The Counter,active,0
100-522,Feline Y/D - Can,3.5,Diet Manufacturers - Hill's,active,0
150-11,"SPCA Payment, not local",0.0,Revenue Profit Categories - Professional Services (Other),active,0
100-522,Feline Y/D - Can,3.5,Revenue Profit Categories - Diet Revenue,active,0
65-270,Bravecto Blue 1000mg SingleTablet,56.0,Revenue Profit Categories - Drug and Medications,active,3
65-270,Bravecto Blue 1000mg SingleTablet,56.0,Parasiticides_External - Bravecto,active,3
3-22,Lyme Disease Alone Annual,84.4,Revenue Profit Categories - Vaccines,inactive,0
33-11,KP Buprenorphine Oral .2mg/ml per ml,0.0,Revenue Profit Categories - Drug and Medications,active,0
33-11,KP Buprenorphine Oral .2mg/ml per ml,0.0,Medication Breakout - Pain,active,0
3-22,Lyme Disease Alone Annual,84.4,Vaccinations - Lyme,inactive,0
30-32,Gentle Leader Large,33.93,Revenue Profit Categories - Over The Counter,active,0
1017,Hydromorphone 2mg Inj per ml,4.5,Revenue Profit Categories - Injections,active,0
17-56,Hand Scaling of Teeth,36.4,Revenue Profit Categories - Dentistry,active,0
300-71,Recheck Drain 5days,0.0,Revenue Profit Categories - Professional Services (Other),inactive,0
93-611,RC FE Renal + Hypo HP 3kg,64.21,Diet Manufacturers - Royal Canin,active,0
93-611,RC FE Renal + Hypo HP 3kg,64.21,Revenue Profit Categories - Diet Revenue,active,0
51-226,Onsior 40mg Tablet,3.23,Revenue Profit Categories - Drug and Medications,active,0
51-226,Onsior 40mg Tablet,3.23,Medication Breakout - Pain,active,0
1050,Bronchicine Inj. Bordetella Vaccine,0.0,Revenue Profit Categories - Vaccines,active,0
62-226,Felimazole 1.25mg Tablet,0.32,Revenue Profit Categories - Drug and Medications,active,0
G1309,Dental Scale & Polish Grade 2 - Estimate,0.0,Revenue Profit Categories - Dentistry,active,0
100-367,Feline Metabolic Small Can - Chicken,1.83,Diet Manufacturers - Hill's,active,0
100-367,Feline Metabolic Small Can - Chicken,1.83,Revenue Profit Categories - Diet Revenue,active,0
107-1,Semintra 4mg/ml 30ml,63.54,Revenue Profit Categories - Drug and Medications,active,0
1050,Bronchicine Inj. Bordetella Vaccine,0.0,Vaccinations - Bordetella,active,0
16-2,Enterotomy,472.5,Revenue Profit Categories - Surgery,active,0
33-3,Katies Place OVH/Tattoo/FVRCP,86.0,Revenue Profit Categories - Surgery,active,0
33-3,Katies Place OVH/Tattoo/FVRCP,86.0,Vaccinations - FVRCP,active,0
16-102,Dewclaw Removal (Infant) per pup,50.2,Revenue Profit Categories - Surgery,active,0
1-103,Consultation - No Charge,0.0,Revenue Profit Categories - Exams,active,0
102-27,Syringe 6cc,0.56,Revenue Profit Categories - Over The Counter,active,0
67-6,Topagen Spray 70ml,46.08,Revenue Profit Categories - Drug and Medications,active,0
67-6,Topagen Spray 70ml,46.08,Medication Breakout - Derm,active,0
94-23,PVD Feline ENCan,2.5,Diet Manufacturers - Purina,active,0
94-23,PVD Feline ENCan,2.5,Revenue Profit Categories - Diet Revenue,active,0
93-336,RC Feline Senior Consult 1.5kg,29.51,Diet Manufacturers - Royal Canin,active,0
93-336,RC Feline Senior Consult 1.5kg,29.51,Revenue Profit Categories - Diet Revenue,active,0
21-200,Blood Transfusion,507.36,Revenue Profit Categories - Fluid Therapy,active,0
105-35,Rayne Feline Adult Health RSS 3kg,49.16,Revenue Profit Categories - Diet Revenue,active,0
12-525,PathologistBlood Smear Review,46.94,Revenue Profit Categories - Lab (external),active,0
14-17,Canine Ovariohysterectomy over 41kg,290.83,Revenue Profit Categories - Surgery,active,0
15-502,Bup Inj 0.4mg/ml per ml* Do not use*,12.1,Revenue Profit Categories - Injections,active,0
65-13,Drontal Plus 68mg Tablet,14.18,Revenue Profit Categories - Drug and Medications,active,0
62-325,Stilbestrol 0.1mg Capsule,0.8,Revenue Profit Categories - Drug and Medications,active,0
16-110,Tail Amputation,286.7,Revenue Profit Categories - Surgery,active,0
17-55,Dental Scale & Polish Grade 1 - (Add on),146.8,Revenue Profit Categories - Dentistry,active,0
23-199,Feline Lion Cut (w/o Sed) incl. Kennel C,72.6,Revenue Profit Categories - Grooming,active,0
16-17,Hernia Repair - Umbilical,119.4,Revenue Profit Categories - Surgery,active,0
30-1002,Novifit Small 100mg Tablet,1.3,Revenue Profit Categories - Drug and Medications,active,0
65-401,Albendazole 400mg,2.62,Revenue Profit Categories - Drug and Medications,active,0
100-267,Feline G/D - Can,2.93,Diet Manufacturers - Hill's,active,0
100-267,Feline G/D - Can,2.93,Revenue Profit Categories - Diet Revenue,active,0
23-198,Feline Lion Cut,48.0,Revenue Profit Categories - Grooming,active,0
70-304,Hilary's Blend Cook Book,33.23,Revenue Profit Categories - Over The Counter,active,0
63-55,Chloramphenicol 1% Ointment 5gr,31.78,Revenue Profit Categories - Drug and Medications,active,0
33-15,Katies Place Rabbit ORCH - GROUP,0.0,Revenue Profit Categories - Surgery,active,0
16-199,Cold Instrument Pack,25.6,Revenue Profit Categories - Surgery,active,0
52-29,Clavamox drops 15ml,40.9,Revenue Profit Categories - Drug and Medications,active,0
3-201,Lepto Vaccine 1 Year,28.3,Revenue Profit Categories - Vaccines,active,0
3-201,Lepto Vaccine 1 Year,28.3,Vaccinations - Lepto,active,0
3-3,DA2LP/Parvo Vaccine 3rd,28.3,Revenue Profit Categories - Vaccines,active,0
3-3,DA2LP/Parvo Vaccine 3rd,28.3,Vaccinations - Lepto,active,0
3-3,DA2LP/Parvo Vaccine 3rd,28.3,Vaccinations - DHPP,active,0
16-30,Surgical Stapling,51.3,Revenue Profit Categories - Surgery,active,0
70-56,Enisyl-F pump 100ml,33.52,Revenue Profit Categories - Over The Counter,active,0
93-317,RC Feline Adult 2kg,35.21,Diet Manufacturers - Royal Canin,active,0
93-317,RC Feline Adult 2kg,35.21,Revenue Profit Categories - Diet Revenue,active,0
600-104,Aird Fund,0.0,Revenue Profit Categories - Discounts,active,0
16-200,Minor Surgical Pack,36.4,Revenue Profit Categories - Surgery,active,0
23-100,Dematting Canine per 15min.,15.5,Revenue Profit Categories - Grooming,active,0
12-59,"CBC, Comprehensive",106.3,Revenue Profit Categories - Lab (external),active,0
40-15,Private Cremation 6-20lbs (mother of pea,110.0,Revenue Profit Categories - Euthanasia & Cremation,active,0
63-109,Cyclosporin 0.2% (Aqueous) 10ml,36.7,Revenue Profit Categories - Drug and Medications,active,0
66-13,Epi-Soothe Shampoo 8oz.,12.42,Revenue Profit Categories - Drug and Medications,active,0
65-77,Dolpac 10mg Tablet,5.03,Revenue Profit Categories - Drug and Medications,active,0
93-272,RC K9 Gastro Int Low Fat 8kg,104.59,Diet Manufacturers - Royal Canin,active,0
93-272,RC K9 Gastro Int Low Fat 8kg,104.59,Revenue Profit Categories - Diet Revenue,active,0
93-273,RC K9 Gastro Int High Energy 4kg,55.39,Diet Manufacturers - Royal Canin,active,0
93-273,RC K9 Gastro Int High Energy 4kg,55.39,Revenue Profit Categories - Diet Revenue,active,0
66-13,Epi-Soothe Shampoo 8oz.,12.42,Medication Breakout - Derm,active,0
93-148,RC Recovery - Can,4.04,Diet Manufacturers - Royal Canin,active,0
15-6,Anesthetic Induction + 30 min. Isoflura,267.96,Revenue Profit Categories - Anesthesia,active,0
16-37,Third eyelid Gland Repositioning,255.31,Revenue Profit Categories - Surgery,active,0
301-4,Cytology - 2 to 5 Sites (True North),118.82,Revenue Profit Categories - Lab (external),active,0
16-20,Mass Removal - Wart/Skin tag,59.6,Revenue Profit Categories - Surgery,active,0
100-600,Canine I/D 12.5kg,112.87,Diet Manufacturers - Hill's,active,0
100-600,Canine I/D 12.5kg,112.87,Revenue Profit Categories - Diet Revenue,active,0
65-254,Trifexis Blue 810mg Per Tablet,23.69,Revenue Profit Categories - Drug and Medications,active,1
65-254,Trifexis Blue 810mg Per Tablet,23.69,Parasiticides_Combo - Trifexis,active,1
30-1012,Fluoxetine 10mg/ml,1.97,Revenue Profit Categories - Drug and Medications,active,0
53-1,Diazepam 5mg Tablets,0.15,Revenue Profit Categories - Drug and Medications,active,0
7-11,Dexamethazone Inj 5mg/ml per ml,0.3,Revenue Profit Categories - Injections,active,0
30-1030,Fluoxetine 7.5mg Chew,1.8,Revenue Profit Categories - Drug and Medications,active,0
93-342,RC Feline Mature Consult Mod Cal 9kg,100.11,Diet Manufacturers - Royal Canin,active,0
93-342,RC Feline Mature Consult Mod Cal 9kg,100.11,Revenue Profit Categories - Diet Revenue,active,0
15-322,Bupivacaine-Epinepherine 0.5% per ml,2.23,Revenue Profit Categories - Anesthesia,active,0
16-53,Surgical Consumables,0.0,Revenue Profit Categories - Surgery,active,0
16-22,Dewclaw Removal (x1),59.4,Revenue Profit Categories - Surgery,active,0
7-19,Vetacortyl Inj per ml,5.47,Revenue Profit Categories - Injections,active,0
70-21,Visorbits 200 tablets,80.77,Revenue Profit Categories - Over The Counter,active,0
100-644,RC FE Urinary SO + Calm 8kg,108.1,Diet Manufacturers - Royal Canin,active,0
100-644,RC FE Urinary SO + Calm 8kg,108.1,Revenue Profit Categories - Diet Revenue,active,0
18-30,Telemedicine Consult - SUPER STAT Fee,131.25,Revenue Profit Categories - Radiology,active,0
93-410,RC FE Urinary SO Mod. Cal. 8kg,97.34,Diet Manufacturers - Royal Canin,active,0
93-410,RC FE Urinary SO Mod. Cal. 8kg,97.34,Revenue Profit Categories - Diet Revenue,active,0
54-15,Cisapride 5mg Tablet,0.94,Revenue Profit Categories - Drug and Medications,active,0
93-676,RC K9 Diabetic 3.5kg,45.57,Diet Manufacturers - Royal Canin,active,0
93-676,RC K9 Diabetic 3.5kg,45.57,Revenue Profit Categories - Diet Revenue,active,0
7-503,Vitamin K1 Inj per ml,7.46,Revenue Profit Categories - Injections,active,0
65-111,Sentinel Green 5-11kg Per Tablet,16.93,Revenue Profit Categories - Drug and Medications,active,1
65-111,Sentinel Green 5-11kg Per Tablet,16.93,Parasiticides_Combo - Sentinel,active,1
18-9,Dental Xray,36.9,Revenue Profit Categories - Dentistry,active,0
93-652,RC Satiety Treats FE (220gm),10.34,Revenue Profit Categories - Over The Counter,active,0
94-33,PVD Feline AdultCan (85gr),1.39,Diet Manufacturers - Purina,active,0
94-33,PVD Feline AdultCan (85gr),1.39,Revenue Profit Categories - Diet Revenue,active,0
16-54,Gastrotomy per 10 min,99.23,Revenue Profit Categories - Surgery,active,0
51-50,Meloxicam Oral (1.5mg/ml) per 1ml,0.0,Revenue Profit Categories - Drug and Medications,inactive,0
51-50,Meloxicam Oral (1.5mg/ml) per 1ml,0.0,Medication Breakout - Pain,inactive,0
11-17,Skin Scraping,37.07,Revenue Profit Categories - Lab (in-house),active,0
67-101,Nitrofurazone Ointment 454gr,25.83,Revenue Profit Categories - Drug and Medications,active,0
67-101,Nitrofurazone Ointment 454gr,25.83,Medication Breakout - Derm,active,0
70-425,K-Gluconate Powder 60 Scoop,25.91,Revenue Profit Categories - Over The Counter,active,0
93-606,RC FE Renal Support A 1.37kg,24.72,Diet Manufacturers - Royal Canin,active,0
93-606,RC FE Renal Support A 1.37kg,24.72,Revenue Profit Categories - Diet Revenue,active,0
16-210,Nasal Turbinate Flush,174.6,Revenue Profit Categories - Professional Services (Other),active,0
1-14,Travel Fee - House Call,99.7,Revenue Profit Categories - Professional Services (Other),active,0
1-40,Suture Removal (fee),15.0,Revenue Profit Categories - Professional Services (Other),active,0
100-567,Feline Metabolic & Urinary Tuna Stew 82g,2.5,Diet Manufacturers - Hill's,active,0
100-567,Feline Metabolic & Urinary Tuna Stew 82g,2.5,Revenue Profit Categories - Diet Revenue,active,0
16-6,Cruciate Ligament / MeniscalRepair,1000.0,Revenue Profit Categories - Surgery,active,0
6-75,Clip And Clean,47.3,Revenue Profit Categories - Professional Services (Other),active,0
51-228,M-Eloxyn Oral Susp 1.5mg/ml 200ml,243.64,Revenue Profit Categories - Drug and Medications,active,0
7-83,Epinephrine Injection 1/10000 per ml,1.12,Revenue Profit Categories - Injections,active,0
102-350,Pure Bites K9 Beef 470gr,38.98,Revenue Profit Categories - Over The Counter,active,0
105-37,Rayne Canine Growth Sensitive GI 8kg,84.3,Revenue Profit Categories - Diet Revenue,active,0
65-110,Sentinel Brown 0-4.5kg Per Tablet,15.02,Revenue Profit Categories - Drug and Medications,active,1
65-110,Sentinel Brown 0-4.5kg Per Tablet,15.02,Parasiticides_Combo - Sentinel,active,1
70-55,Viralys Gel (L-Lysine) 5 oz.,30.18,Revenue Profit Categories - Over The Counter,active,0
93-321,RC Feline Weight Control 3.5kg,49.75,Diet Manufacturers - Royal Canin,active,0
93-321,RC Feline Weight Control 3.5kg,49.75,Revenue Profit Categories - Diet Revenue,active,0
12-220,Canine VAD Panel (no urine),227.85,Revenue Profit Categories - Lab (external),active,0
16-34,Pharyngostomy Tube placement,89.4,Revenue Profit Categories - Surgery,active,0
23-1,Medicated Bath - Small,47.0,Revenue Profit Categories - Grooming,active,0
63-108,Optixcare Eye Cleaner,12.28,Revenue Profit Categories - Drug and Medications,active,0
105-27,Rayne Canine Kangaroo Maint 11kg,145.71,Revenue Profit Categories - Diet Revenue,active,0
30-6,Adaptil Collar Large,36.84,Revenue Profit Categories - Over The Counter,active,0
12-182,Culture ID Only (Aerobic),92.58,Revenue Profit Categories - Lab (external),active,0
17-1,Dental Scale & Polish Grade 1,399.4,Revenue Profit Categories - Dentistry,active,0
18-32,ECG - In Hospital,150.0,Revenue Profit Categories - Diagnostic Imaging,active,0
17-1,Dental Scale & Polish Grade 1,399.4,Preventive Care Snapshot - Dental Prophy,active,0
16-51,Eye Enucleation,565.0,Revenue Profit Categories - Surgery,active,0
21-3,Administration Set 10d/ml,10.1,Revenue Profit Categories - Fluid Therapy,active,0
102-246,Vetrap Bandage 4 Roll,3.77,Revenue Profit Categories - Professional Services (Other),active,0
102-337,Slippery Sam Catheter,52.52,Revenue Profit Categories - Professional Services (Other),active,0
70-234,Aventi CP Dogs 50gr,21.48,Revenue Profit Categories - Over The Counter,active,0
71-200,Dentachlor Oral Rince 237ml,14.97,Revenue Profit Categories - Over The Counter,active,0
93-143,RC K9 Vegetarian 13kg,125.31,Diet Manufacturers - Royal Canin,active,0
93-143,RC K9 Vegetarian 13kg,125.31,Revenue Profit Categories - Diet Revenue,active,0
16-61,Surgical Assistance per 10 min.,42.0,Revenue Profit Categories - Surgery,active,0
93-142,RC K9 Vegetarian 3.5kg,41.43,Diet Manufacturers - Royal Canin,active,0
93-142,RC K9 Vegetarian 3.5kg,41.43,Revenue Profit Categories - Diet Revenue,active,0
63-53,Ocular Serum,31.8,Revenue Profit Categories - Drug and Medications,active,0
100-611,Canine D/D 3.63kg - Venison,44.52,Diet Manufacturers - Hill's,active,0
100-611,Canine D/D 3.63kg - Venison,44.52,Revenue Profit Categories - Diet Revenue,active,0
57-3,Vetmedin Caps 5mg,1.49,Revenue Profit Categories - Drug and Medications,active,0
14-281,Canine Mature Charge 41kg and up,178.94,Revenue Profit Categories - Surgery,active,0
16-49,Orthopedic Pack,142.3,Revenue Profit Categories - Surgery,active,0
18-20,Telemedicine Rad Consult,149.65,Revenue Profit Categories - Radiology,active,0
85-10,Douxo Calm Shampoo 200ml,24.87,Revenue Profit Categories - Drug and Medications,active,0
53-5,Phenobarbital 30mg Tablets,0.35,Revenue Profit Categories - Drug and Medications,active,0
50-1,Mirtazapine 5mg/ml oral liquid per ml,1.39,Revenue Profit Categories - Drug and Medications,active,0
51-225,Gabapentin 100mg Capsule,0.17,Revenue Profit Categories - Drug and Medications,active,0
51-225,Gabapentin 100mg Capsule,0.17,Medication Breakout - Pain,active,0
85-10,Douxo Calm Shampoo 200ml,24.87,Medication Breakout - Derm,active,0
57-14,Benazepril 5mg/ml Liquid,1.27,Revenue Profit Categories - Drug and Medications,active,0
100-154,Canine C/D 3.85kg,38.32,Diet Manufacturers - Hill's,active,0
100-154,Canine C/D 3.85kg,38.32,Revenue Profit Categories - Diet Revenue,active,0
33-2,Katies Place Tattoo,22.0,Revenue Profit Categories - Professional Services (Other),active,0
16-5,Caesarean Section (1 hour),595.35,Revenue Profit Categories - Surgery,active,0
65-235,Advantage Multi single vial blue,24.5,Revenue Profit Categories - Drug and Medications,inactive,1
65-235,Advantage Multi single vial blue,24.5,Parasiticides_Combo - Advantage Multi,inactive,1
54-20,Tylan Soluble per tsp.,1.98,Revenue Profit Categories - Drug and Medications,active,0
93-522,RC FE Satiety Support 8.5kg,133.59,Diet Manufacturers - Royal Canin,active,0
93-522,RC FE Satiety Support 8.5kg,133.59,Revenue Profit Categories - Diet Revenue,active,0
18-4,Contrast Media,69.5,Revenue Profit Categories - Radiology,active,0
17-50,Dental Scale & Polish Grade 2 - (Add on),196.2,Revenue Profit Categories - Dentistry,active,0
101-107,Advantage Applied Single Vial Feline,18.2,Revenue Profit Categories - Drug and Medications,inactive,1
101-107,Advantage Applied Single Vial Feline,18.2,Parasiticides_External - Advantage,inactive,1
93-329,RC Feline Mature Consult 4kg,61.61,Diet Manufacturers - Royal Canin,active,0
93-329,RC Feline Mature Consult 4kg,61.61,Revenue Profit Categories - Diet Revenue,active,0
301-5,Baseline Profile (True North),113.26,Revenue Profit Categories - Lab (external),active,0
102-364,Pure Bites Feline Shrimp 15g,7.46,Revenue Profit Categories - Over The Counter,active,0
93-350,RC K9 Development Large Dog 14kg,111.84,Diet Manufacturers - Royal Canin,active,0
93-350,RC K9 Development Large Dog 14kg,111.84,Revenue Profit Categories - Diet Revenue,active,0
100-202,Canine L/D - Can,5.44,Diet Manufacturers - Hill's,active,0
100-202,Canine L/D - Can,5.44,Revenue Profit Categories - Diet Revenue,active,0
30-785,Anafranil 50mg Tablet,1.78,Revenue Profit Categories - Drug and Medications,active,0
1027,Hydromorphone 10mg Inj per ml,9.98,Revenue Profit Categories - Injections,active,0
40-106,Spawts Paw Print w/ Easel,69.95,Revenue Profit Categories - Euthanasia & Cremation,active,0
2-33,FeLV / FVRCP Combo 3rd,94.9,Revenue Profit Categories - Vaccines,inactive,0
2-2,FVRCP Vaccine 2nd,28.3,Revenue Profit Categories - Vaccines,active,0
2-2,FVRCP Vaccine 2nd,28.3,Vaccinations - FVRCP,active,0
2-33,FeLV / FVRCP Combo 3rd,94.9,Vaccinations - FVRCP,inactive,0
2-33,FeLV / FVRCP Combo 3rd,94.9,Vaccinations - FELV,inactive,0
